id_pedido,id_cliente,id_restaurante,id_entregador,distancia_km,valor_pedido,clima,horario_pico,tempo_entrega_min,tempo_prometido_min,atrasado,minutos_atraso,avaliacao
1040,190,6,49,6.62,144.85,Ensolarado,0,56,54,1,2,4.4
1041,51,22,25,12.2,158.8,Nublado,1,74,71,1,3,4.4
1042,108,17,24,3.86,137.84,Ensolarado,0,47,46,1,1,4.7
1043,55,24,12,8.77,47.29,Nublado,0,63,61,1,2,4.7
1044,64,6,18,11.26,177.66,Nublado,0,79,68,1,11,3.6
1045,131,19,15,9.62,117.04,Ensolarado,0,63,63,0,0,4.7
1046,51,25,44,3.63,70.85,Nublado,0,35,45,0,0,4.7
1047,135,2,16,5.98,96.54,Ensolarado,0,52,52,0,0,4.7
1048,21,15,27,11.97,26.76,Nublado,1,79,70,1,9,3.6
1049,73,11,8,8.76,43.02,Ensolarado,0,62,61,1,1,4.5
1050,167,8,46,1.07,157.8,Ensolarado,0,39,38,1,1,4.5
1051,18,26,25,11.65,20.0,Chuvoso,0,81,69,1,12,3.5
1052,132,19,17,1.49,94.98,Ensolarado,0,40,39,1,1,4.6
1053,89,13,29,11.44,114.05,Nublado,1,89,69,1,20,2.4
1054,60,12,8,3.83,29.83,Ensolarado,0,41,46,0,0,4.9
1055,14,5,15,14.41,195.15,Ensolarado,1,84,78,1,6,3.9
1056,9,6,27,6.15,60.7,Ensolarado,0,47,53,0,0,4.6
1057,90,26,46,5.58,74.76,Ensolarado,1,58,51,1,7,4.1
1058,53,22,7,3.08,74.71,Ensolarado,0,38,44,0,0,5.0
1059,130,4,3,5.28,61.47,Ensolarado,1,64,50,1,14,3.0
1060,84,19,29,13.27,20.27,Ensolarado,0,68,74,0,0,4.8
1061,92,20,44,14.95,151.28,Ensolarado,0,71,79,0,0,4.6
1062,111,1,24,6.16,194.03,Chuvoso,0,72,53,1,19,2.6
1063,188,20,3,7.28,60.37,Chuvoso,0,73,56,1,17,2.9
1064,199,17,20,11.11,139.35,Ensolarado,1,79,68,1,11,3.6
1065,172,12,46,13.41,153.54,Nublado,0,93,75,1,18,2.8
1066,8,15,15,9.3,172.72,Ensolarado,0,69,62,1,7,4.1
1067,175,1,25,6.48,96.07,Nublado,1,67,54,1,13,3.1
1068,35,26,30,6.78,74.53,Nublado,0,55,55,0,0,4.9
1069,81,14,14,10.74,78.55,Chuvoso,1,100,67,1,33,1.0
1070,164,6,7,1.05,148.27,Ensolarado,1,56,38,1,18,2.8
1071,50,5,17,9.67,167.02,Nublado,0,62,64,0,0,4.9
1072,104,11,44,5.98,52.69,Ensolarado,1,62,52,1,10,3.5
1073,132,4,20,12.12,86.77,Chuvoso,0,89,71,1,18,2.6
1074,2,13,36,2.3,182.35,Ensolarado,0,49,41,1,8,3.7
1075,134,11,9,9.23,165.2,Nublado,0,72,62,1,10,3.6
1076,54,3,38,7.73,197.27,Nublado,0,53,58,0,0,4.9
1077,106,1,48,9.99,155.76,Nublado,1,86,64,1,22,2.2
1078,4,6,22,1.91,90.78,Ensolarado,1,46,40,1,6,4.2
1079,54,18,2,9.12,126.31,Chuvoso,0,89,62,1,27,1.4
1080,191,24,24,8.86,138.98,Ensolarado,0,54,61,0,0,4.9
1081,146,10,8,8.85,34.12,Nublado,1,72,61,1,11,3.4
1082,44,5,11,9.45,118.01,Ensolarado,0,59,63,0,0,4.9
1083,162,23,13,10.47,147.68,Ensolarado,0,64,66,0,0,4.7
1084,190,10,17,12.27,50.12,Ensolarado,0,69,71,0,0,4.6
1085,14,12,8,4.78,160.51,Ensolarado,1,56,49,1,7,3.9
1086,95,2,21,12.55,125.08,Ensolarado,0,73,72,1,1,4.7
1087,48,13,18,7.98,191.4,Ensolarado,1,72,58,1,14,2.9
1088,15,8,30,2.08,27.64,Ensolarado,1,62,41,1,21,2.2
1089,190,2,18,1.82,67.76,Nublado,0,34,40,0,0,4.9
1090,40,20,46,5.68,128.28,Chuvoso,0,73,52,1,21,2.4
1091,82,1,47,11.99,73.38,Ensolarado,1,85,70,1,15,2.9
1092,111,5,31,10.91,148.6,Ensolarado,0,71,67,1,4,4.2
1093,53,9,38,12.04,156.62,Ensolarado,1,101,71,1,30,1.3
1094,24,17,32,8.24,38.45,Ensolarado,1,79,59,1,20,2.5
1095,154,9,11,7.16,112.49,Nublado,1,77,56,1,21,2.1
1096,188,11,45,3.06,111.6,Nublado,1,54,44,1,10,3.8
1097,124,15,25,5.59,86.47,Ensolarado,1,60,51,1,9,3.8
1098,41,24,33,7.08,187.93,Ensolarado,1,57,56,1,1,4.9
1099,157,6,38,2.24,168.95,Ensolarado,0,41,41,0,0,4.7
1100,15,23,41,4.09,145.5,Nublado,0,42,47,0,0,5.0
1101,45,3,8,9.38,148.58,Chuvoso,0,85,63,1,22,2.1
1102,65,17,11,11.3,103.11,Ensolarado,1,79,68,1,11,3.7
1103,89,5,22,14.98,185.78,Ensolarado,0,80,79,1,1,4.6
1104,71,28,24,14.06,145.03,Chuvoso,1,103,77,1,26,1.5
1105,9,12,41,10.0,151.22,Chuvoso,0,66,65,1,1,4.7
1106,88,18,17,6.9,175.1,Ensolarado,1,62,55,1,7,4.0
1107,129,14,12,9.91,69.33,Ensolarado,0,72,64,1,8,3.9
1108,136,21,46,12.0,165.27,Ensolarado,1,79,71,1,8,3.9
1109,63,24,32,2.66,55.14,Ensolarado,0,41,42,0,0,4.7
1110,139,11,15,6.74,82.16,Ensolarado,0,49,55,0,0,4.9
1111,81,9,16,12.76,80.41,Ensolarado,0,71,73,0,0,4.7
1112,136,2,22,6.37,196.13,Ensolarado,1,64,54,1,10,3.7
1113,163,12,28,9.01,174.18,Ensolarado,0,57,62,0,0,4.9
1114,163,3,20,9.23,146.21,Nublado,0,65,62,1,3,4.5
1115,33,3,33,3.58,150.87,Ensolarado,1,59,45,1,14,3.1
1116,123,1,10,6.07,121.17,Ensolarado,1,67,53,1,14,3.1
1117,5,8,40,5.68,190.48,Ensolarado,1,64,52,1,12,3.3
1118,41,22,32,1.37,109.33,Ensolarado,0,34,39,0,0,4.9
1119,28,28,33,1.34,88.49,Chuvoso,0,50,39,1,11,3.7
1120,135,29,2,12.64,49.35,Ensolarado,1,86,72,1,14,3.0
1121,72,8,33,4.82,161.52,Ensolarado,0,55,49,1,6,4.0
1122,12,11,33,8.25,152.2,Nublado,1,87,59,1,28,1.6
1123,162,9,41,5.18,89.18,Ensolarado,0,60,50,1,10,3.6
1124,33,5,13,14.17,24.53,Chuvoso,0,74,77,0,0,4.8
1125,48,14,30,4.63,171.02,Ensolarado,0,42,48,0,0,4.7
1126,151,28,33,7.02,22.06,Ensolarado,0,53,56,0,0,4.7
1127,62,3,13,13.22,146.67,Ensolarado,0,77,74,1,3,4.3
1128,37,21,26,12.79,194.65,Ensolarado,0,71,73,0,0,4.7
1129,99,5,22,3.61,98.78,Nublado,1,59,45,1,14,3.2
1130,172,5,39,12.24,62.3,Nublado,0,81,71,1,10,3.5
1131,104,19,2,7.41,146.88,Ensolarado,1,71,57,1,14,3.1
1132,35,27,38,7.76,167.08,Ensolarado,1,60,58,1,2,4.7
1133,193,14,39,2.87,118.36,Nublado,0,43,43,0,0,4.8
1134,101,26,26,2.13,194.07,Chuvoso,0,63,41,1,22,2.0
1135,175,4,46,11.19,29.3,Ensolarado,1,83,68,1,15,2.8
1136,131,25,15,7.95,110.86,Ensolarado,1,67,58,1,9,3.9
1137,1,13,34,7.12,149.32,Ensolarado,1,61,56,1,5,4.1
1138,5,10,42,11.21,175.28,Chuvoso,1,97,68,1,29,1.2
1139,142,25,44,11.72,52.27,Ensolarado,1,72,70,1,2,4.7
1140,103,18,49,3.22,164.0,Ensolarado,0,45,44,1,1,4.7
1141,27,8,40,9.54,119.49,Nublado,0,60,63,0,0,4.7
1142,137,8,11,2.89,91.38,Ensolarado,1,61,43,1,18,2.7
1143,15,7,3,11.52,43.71,Ensolarado,0,77,69,1,8,4.0
1144,90,8,6,10.2,175.75,Ensolarado,1,73,65,1,8,3.8
1145,42,14,9,14.39,48.31,Ensolarado,0,82,78,1,4,4.2
1146,124,19,6,1.97,75.76,Ensolarado,0,26,40,0,0,4.7
1147,179,29,9,1.8,72.21,Ensolarado,1,54,40,1,14,3.0
1148,63,6,39,4.95,176.85,Ensolarado,0,42,49,0,0,4.9
1149,96,1,31,4.66,141.09,Ensolarado,0,52,48,1,4,4.4
1150,52,23,32,4.46,163.4,Nublado,0,37,48,0,0,4.7
1151,96,15,41,13.69,65.08,Nublado,1,102,76,1,26,1.7
1152,132,1,12,4.49,132.48,Ensolarado,0,45,48,0,0,4.7
1153,151,25,8,4.81,122.91,Ensolarado,1,59,49,1,10,3.8
1154,143,17,8,11.63,169.91,Ensolarado,0,76,69,1,7,4.0
1155,171,1,28,7.3,183.1,Ensolarado,1,66,56,1,10,3.6
1156,29,15,20,11.87,22.19,Ensolarado,1,72,70,1,2,4.4
1157,36,23,47,1.92,141.32,Nublado,0,52,40,1,12,3.5
1158,13,2,7,7.83,29.33,Ensolarado,0,41,58,0,0,5.0
1159,160,14,11,1.47,118.79,Ensolarado,0,33,39,0,0,4.9
1160,71,21,20,1.88,71.77,Ensolarado,1,47,40,1,7,3.8
1161,187,8,16,13.69,75.22,Nublado,0,76,76,0,0,4.9
1162,86,8,4,2.95,83.53,Ensolarado,1,45,43,1,2,4.7
1163,28,19,6,8.45,131.83,Nublado,0,76,60,1,16,3.0
1164,66,7,22,6.76,80.13,Ensolarado,0,61,55,1,6,4.0
1165,170,19,26,5.86,151.89,Chuvoso,0,58,52,1,6,4.3
1166,45,6,3,13.6,92.81,Chuvoso,0,83,75,1,8,3.9
1167,62,6,41,1.31,32.3,Ensolarado,0,31,38,0,0,4.9
1168,185,3,42,10.29,161.08,Ensolarado,1,75,65,1,10,3.6
1169,134,7,14,14.49,71.44,Ensolarado,1,83,78,1,5,4.1
1170,28,19,11,8.84,97.9,Ensolarado,0,56,61,0,0,4.8
1171,28,8,18,14.12,143.38,Nublado,1,86,77,1,9,3.5
1172,108,10,12,1.73,79.84,Nublado,1,53,40,1,13,3.1
1173,44,20,23,6.86,30.19,Nublado,1,84,55,1,29,1.4
1174,84,15,12,4.64,87.31,Nublado,0,52,48,1,4,4.2
1175,30,15,13,11.23,190.0,Ensolarado,0,73,68,1,5,4.1
1176,190,29,25,14.74,135.51,Ensolarado,0,69,79,0,0,4.6
1177,75,1,45,4.59,140.87,Nublado,1,72,48,1,24,1.9
1178,128,20,19,10.16,133.81,Ensolarado,0,69,65,1,4,4.3
1179,92,7,46,3.77,55.82,Nublado,0,48,46,1,2,4.6
1180,190,27,36,8.91,95.3,Ensolarado,0,54,61,0,0,4.7
1181,129,4,45,7.5,155.17,Ensolarado,0,50,57,0,0,4.9
1182,121,29,8,14.61,38.25,Chuvoso,1,93,78,1,15,3.1
1183,27,6,29,9.52,70.01,Ensolarado,0,52,63,0,0,4.9
1184,190,25,32,5.89,69.74,Chuvoso,0,50,52,0,0,4.9
1185,121,1,44,2.6,97.76,Chuvoso,1,77,42,1,35,1.0
1186,116,29,18,3.12,196.47,Nublado,1,50,44,1,6,4.2
1187,3,5,6,4.15,32.15,Nublado,1,71,47,1,24,2.0
1188,103,27,18,4.51,113.37,Ensolarado,1,68,48,1,20,2.2
1189,198,23,19,12.91,52.29,Chuvoso,1,110,73,1,37,1.0
1190,155,1,22,8.86,194.72,Ensolarado,0,65,61,1,4,4.2
1191,137,4,37,8.33,40.39,Ensolarado,0,55,59,0,0,5.0
1192,62,22,32,2.61,92.65,Nublado,1,57,42,1,15,3.1
1193,165,2,41,13.04,152.82,Ensolarado,1,89,74,1,15,2.9
1194,51,10,3,11.12,146.82,Ensolarado,1,76,68,1,8,3.7
1195,172,5,28,1.95,96.09,Ensolarado,0,27,40,0,0,4.8
1196,152,27,10,10.91,82.37,Ensolarado,0,63,67,0,0,4.6
1197,59,10,35,8.61,91.57,Chuvoso,0,78,60,1,18,2.5
1198,118,1,29,2.14,67.57,Ensolarado,0,44,41,1,3,4.3
1199,160,22,15,7.42,56.96,Chuvoso,0,57,57,0,0,4.8
1200,96,6,33,7.79,106.95,Nublado,1,95,58,1,37,1.0
1201,180,13,7,3.32,68.34,Nublado,0,47,44,1,3,4.4
1202,113,15,12,14.24,71.74,Ensolarado,0,76,77,0,0,4.7
1203,62,4,49,12.9,138.22,Nublado,0,73,73,0,0,4.9
1204,186,13,30,10.37,194.34,Ensolarado,1,77,66,1,11,3.4
1205,52,24,21,7.47,128.65,Nublado,0,66,57,1,9,3.9
1206,12,20,31,6.76,33.86,Ensolarado,0,69,55,1,14,3.1
1207,39,24,24,10.11,33.61,Chuvoso,0,88,65,1,23,2.1
1208,130,15,20,8.64,191.26,Chuvoso,0,80,60,1,20,2.3
1209,131,29,37,1.87,73.51,Ensolarado,1,64,40,1,24,2.0
1210,113,8,4,8.18,36.57,Ensolarado,1,71,59,1,12,3.2
1211,101,5,28,12.29,127.83,Nublado,0,79,71,1,8,3.8
1212,113,29,44,7.43,132.26,Ensolarado,0,61,57,1,4,4.2
1213,184,15,20,1.73,136.73,Chuvoso,1,71,40,1,31,1.0
1214,81,4,24,12.01,68.13,Ensolarado,0,64,71,0,0,4.7
1215,187,12,49,3.82,22.72,Ensolarado,0,50,46,1,4,4.1
1216,113,13,32,4.62,193.7,Chuvoso,0,76,48,1,28,1.6
1217,2,2,41,3.31,65.16,Nublado,1,65,44,1,21,2.3
1218,130,27,36,5.62,141.68,Nublado,0,58,51,1,7,4.1
1219,54,19,34,11.59,147.19,Ensolarado,0,75,69,1,6,4.2
1220,87,19,36,8.27,129.8,Nublado,1,76,59,1,17,2.6
1221,129,4,2,3.87,76.32,Ensolarado,0,47,46,1,1,4.9
1222,147,4,15,13.29,68.8,Nublado,0,83,74,1,9,3.7
1223,126,26,34,13.31,127.58,Nublado,1,96,74,1,22,2.1
1224,130,11,36,13.19,175.9,Ensolarado,0,83,74,1,9,3.7
1225,53,27,6,4.34,190.41,Ensolarado,1,64,48,1,16,2.9
1226,172,5,39,7.32,39.06,Ensolarado,0,58,56,1,2,4.4
1227,160,20,42,14.79,47.87,Nublado,0,87,79,1,8,4.0
1228,198,11,12,11.81,190.05,Ensolarado,0,64,70,0,0,4.9
1229,160,10,3,1.38,152.58,Nublado,0,41,39,1,2,4.5
1230,68,8,45,1.91,178.94,Ensolarado,0,43,40,1,3,4.4
1231,183,6,18,7.5,56.47,Nublado,1,70,57,1,13,3.3
1232,184,6,40,13.73,125.77,Nublado,0,92,76,1,16,2.7
1233,123,8,21,8.54,146.21,Ensolarado,0,70,60,1,10,3.6
1234,145,23,15,7.97,142.42,Ensolarado,0,75,58,1,17,2.8
1235,38,15,33,2.48,93.47,Ensolarado,1,53,42,1,11,3.7
1236,24,26,35,10.19,22.77,Nublado,0,62,65,0,0,4.8
1237,69,14,26,12.51,124.93,Nublado,0,73,72,1,1,4.6
1238,116,11,8,6.33,65.56,Ensolarado,0,55,53,1,2,4.7
1239,98,12,36,11.86,101.05,Nublado,0,68,70,0,0,4.9
1240,198,26,48,14.5,192.36,Ensolarado,0,84,78,1,6,4.0
1241,139,13,30,3.85,91.83,Ensolarado,1,61,46,1,15,3.1
1242,144,8,23,8.33,171.16,Chuvoso,0,75,59,1,16,3.0
1243,97,18,42,5.02,53.94,Ensolarado,0,57,50,1,7,3.9
1244,124,25,44,12.1,141.04,Ensolarado,0,64,71,0,0,4.9
1245,187,1,14,9.09,195.86,Ensolarado,1,73,62,1,11,3.3
1246,70,15,14,9.88,38.34,Ensolarado,0,61,64,0,0,5.0
1247,93,8,2,12.17,21.5,Ensolarado,0,78,71,1,7,3.9
1248,3,28,37,6.54,98.04,Ensolarado,0,48,54,0,0,4.8
1249,148,11,5,13.81,36.67,Nublado,0,97,76,1,21,2.1
1250,187,12,38,8.46,154.71,Ensolarado,0,65,60,1,5,4.3
1251,164,12,45,3.21,184.62,Ensolarado,0,36,44,0,0,4.7
1252,147,4,41,10.74,98.12,Ensolarado,0,68,67,1,1,4.7
1253,90,16,47,12.11,66.57,Ensolarado,0,78,71,1,7,4.0
1254,195,4,14,5.43,98.19,Nublado,0,56,51,1,5,4.2
1255,147,5,39,13.0,150.22,Chuvoso,0,82,74,1,8,3.8
1256,148,24,25,13.69,21.63,Ensolarado,0,73,76,0,0,4.6
1257,96,5,20,4.88,126.1,Chuvoso,1,70,49,1,21,2.4
1258,199,8,2,14.77,130.39,Ensolarado,1,96,79,1,17,3.0
1259,52,10,39,2.97,134.78,Ensolarado,1,47,43,1,4,4.2
1260,161,17,6,3.83,63.56,Ensolarado,1,43,46,0,0,5.0
1261,168,28,17,3.58,148.53,Ensolarado,1,65,45,1,20,2.2
1262,128,26,25,13.52,36.45,Ensolarado,1,92,75,1,17,2.7
1263,39,9,28,10.16,55.87,Nublado,0,72,65,1,7,3.9
1264,82,22,2,3.13,177.94,Ensolarado,1,48,44,1,4,4.4
1265,104,19,35,7.16,152.97,Chuvoso,0,60,56,1,4,4.4
1266,129,29,37,9.61,22.47,Ensolarado,0,50,63,0,0,4.7
1267,11,14,5,2.17,64.71,Ensolarado,1,66,41,1,25,1.6
1268,185,8,1,13.35,58.59,Nublado,0,72,75,0,0,4.6
1269,178,9,40,12.25,68.75,Ensolarado,0,74,71,1,3,4.6
1270,151,22,12,8.07,64.56,Ensolarado,1,68,59,1,9,3.9
1271,159,11,36,14.54,31.25,Nublado,0,81,78,1,3,4.6
1272,42,23,45,6.85,102.61,Chuvoso,0,80,55,1,25,1.7
1273,99,1,23,14.78,151.89,Nublado,1,98,79,1,19,2.6
1274,7,14,47,10.35,129.21,Nublado,1,90,66,1,24,2.1
1275,144,5,31,9.89,141.12,Nublado,0,64,64,0,0,4.9
1276,90,21,11,3.32,34.61,Chuvoso,0,68,44,1,24,2.0
1277,112,26,10,13.35,191.27,Ensolarado,0,74,75,0,0,4.6
1278,60,14,3,6.98,170.93,Ensolarado,1,71,55,1,16,2.9
1279,113,4,14,3.27,164.92,Ensolarado,0,39,44,0,0,4.9
1280,2,22,16,1.18,168.14,Ensolarado,0,42,38,1,4,4.4
1281,129,23,10,8.84,187.89,Nublado,0,54,61,0,0,4.9
1282,48,25,29,8.38,117.97,Nublado,0,77,60,1,17,3.0
1283,140,1,10,11.07,56.05,Ensolarado,1,92,68,1,24,2.1
1284,197,22,12,13.46,131.02,Ensolarado,0,71,75,0,0,4.7
1285,37,23,30,2.11,153.72,Nublado,1,44,41,1,3,4.6
1286,160,19,41,11.24,152.83,Ensolarado,0,69,68,1,1,4.8
1287,9,8,1,3.62,113.86,Nublado,1,64,45,1,19,2.6
1288,99,15,5,13.01,32.32,Ensolarado,1,87,74,1,13,3.1
1289,147,21,20,12.47,86.8,Ensolarado,0,73,72,1,1,4.6
1290,48,15,8,8.57,185.74,Ensolarado,0,72,60,1,12,3.3
1291,131,9,43,10.94,125.2,Ensolarado,0,57,67,0,0,4.8
1292,148,21,12,5.4,116.9,Nublado,1,67,51,1,16,2.8
1293,152,9,1,7.6,68.39,Chuvoso,0,64,57,1,7,4.2
1294,54,10,20,12.5,86.32,Nublado,1,85,72,1,13,3.1
1295,120,20,28,7.43,181.16,Ensolarado,1,80,57,1,23,2.2
1296,161,25,43,6.01,139.96,Ensolarado,1,63,53,1,10,3.6
1297,152,21,37,7.92,161.73,Nublado,1,68,58,1,10,3.5
1298,116,26,47,12.6,101.78,Nublado,0,67,72,0,0,4.8
1299,75,9,37,5.69,133.44,Ensolarado,0,44,52,0,0,4.6
1300,113,3,12,3.43,64.71,Ensolarado,0,45,45,0,0,4.8
1301,164,20,37,10.97,146.98,Nublado,1,77,67,1,10,3.5
1302,166,25,49,12.56,96.97,Ensolarado,1,89,72,1,17,2.6
1303,104,26,49,2.41,99.66,Ensolarado,1,42,42,0,0,4.6
1304,84,11,44,4.36,136.88,Ensolarado,0,60,48,1,12,3.2
1305,112,6,28,2.99,188.53,Ensolarado,0,46,43,1,3,4.3
1306,99,2,47,5.87,31.52,Chuvoso,1,84,52,1,32,1.0
1307,153,7,15,7.3,168.45,Chuvoso,0,75,56,1,19,2.6
1308,93,18,6,11.48,72.63,Ensolarado,0,75,69,1,6,4.2
1309,146,27,44,10.12,99.91,Ensolarado,1,81,65,1,16,2.8
1310,128,2,20,9.69,23.94,Ensolarado,0,61,64,0,0,4.6
1311,110,27,14,5.93,74.19,Ensolarado,0,61,52,1,9,3.6
1312,82,17,2,12.78,110.47,Ensolarado,0,78,73,1,5,4.0
1313,194,11,9,7.6,30.11,Nublado,0,59,57,1,2,4.4
1314,54,27,37,14.71,108.4,Ensolarado,1,79,79,0,0,4.9
1315,163,12,20,9.88,186.88,Ensolarado,0,67,64,1,3,4.5
1316,189,27,26,2.77,38.97,Ensolarado,0,48,43,1,5,4.3
1317,169,19,29,10.47,157.6,Ensolarado,0,68,66,1,2,4.7
1318,161,22,1,5.55,93.74,Ensolarado,1,69,51,1,18,2.6
1319,68,24,35,10.61,137.93,Ensolarado,0,73,66,1,7,3.8
1320,33,25,6,1.97,66.84,Chuvoso,0,62,40,1,22,2.1
1321,142,7,37,3.45,48.71,Ensolarado,0,48,45,1,3,4.5
1322,21,20,5,12.98,48.88,Ensolarado,0,64,73,0,0,5.0
1323,48,6,33,4.18,32.69,Chuvoso,0,50,47,1,3,4.5
1324,148,21,49,12.72,53.42,Chuvoso,1,87,73,1,14,3.1
1325,128,24,14,4.91,139.56,Ensolarado,1,78,49,1,29,1.4
1326,136,1,12,10.0,178.7,Nublado,0,65,65,0,0,5.0
1327,135,17,42,10.72,166.54,Ensolarado,0,67,67,0,0,4.8
1328,195,29,20,8.18,143.32,Ensolarado,1,61,59,1,2,4.7
1329,145,11,24,5.27,39.88,Ensolarado,0,45,50,0,0,4.6
1330,128,22,43,3.98,72.05,Nublado,1,61,46,1,15,3.2
1331,33,26,34,1.46,75.77,Nublado,0,50,39,1,11,3.7
1332,176,28,25,5.26,64.99,Ensolarado,1,70,50,1,20,2.6
1333,187,18,29,10.14,112.7,Ensolarado,1,72,65,1,7,4.0
1334,115,21,39,14.14,116.4,Nublado,1,87,77,1,10,3.5
1335,119,17,31,13.2,84.24,Ensolarado,1,92,74,1,18,2.5
1336,22,7,47,11.72,83.68,Ensolarado,0,65,70,0,0,4.8
1337,158,17,43,12.04,169.14,Nublado,1,84,71,1,13,3.2
1338,38,20,23,10.31,162.07,Nublado,0,69,65,1,4,4.4
1339,109,9,44,4.64,75.4,Nublado,0,48,48,0,0,4.7
1340,51,17,38,13.7,184.48,Chuvoso,1,95,76,1,19,2.7
1341,182,20,20,10.39,191.51,Ensolarado,1,74,66,1,8,3.9
1342,8,22,23,8.85,78.81,Nublado,1,86,61,1,25,1.7
1343,27,22,45,2.55,83.8,Nublado,0,54,42,1,12,3.2
1344,27,28,16,7.26,111.01,Ensolarado,1,69,56,1,13,3.2
1345,21,29,42,7.45,189.4,Ensolarado,1,58,57,1,1,4.8
1346,30,8,8,13.1,177.74,Ensolarado,0,83,74,1,9,3.8
1347,97,17,21,8.65,38.46,Ensolarado,0,60,60,0,0,4.6
1348,28,7,1,6.33,90.69,Nublado,0,63,53,1,10,3.8
1349,111,1,8,14.68,119.61,Nublado,0,78,79,0,0,4.9
1350,192,13,29,2.55,110.56,Ensolarado,1,65,42,1,23,2.2
1351,197,23,32,6.92,54.9,Ensolarado,1,62,55,1,7,4.0
1352,61,19,38,1.59,174.59,Chuvoso,1,66,39,1,27,1.7
1353,48,27,5,11.36,141.85,Ensolarado,1,82,69,1,13,3.2
1354,147,24,47,13.85,170.82,Ensolarado,0,75,76,0,0,4.8
1355,4,19,22,4.92,174.58,Ensolarado,1,57,49,1,8,3.7
1356,35,29,47,13.02,154.7,Ensolarado,0,73,74,0,0,5.0
1357,192,17,34,5.09,99.06,Ensolarado,1,52,50,1,2,4.6
1358,49,13,1,13.75,129.9,Ensolarado,0,85,76,1,9,3.7
1359,17,29,26,11.56,48.87,Ensolarado,1,85,69,1,16,2.8
1360,172,16,43,12.27,141.26,Ensolarado,0,78,71,1,7,4.0
1361,158,8,10,1.25,52.27,Ensolarado,0,35,38,0,0,4.7
1362,46,19,30,14.48,144.91,Ensolarado,1,83,78,1,5,4.4
1363,117,18,18,11.17,61.33,Nublado,0,71,68,1,3,4.3
1364,6,1,17,5.27,41.16,Nublado,1,66,50,1,16,2.9
1365,99,14,26,12.61,49.75,Ensolarado,0,74,72,1,2,4.7
1366,124,19,8,4.94,20.36,Ensolarado,1,68,49,1,19,2.4
1367,37,15,47,13.22,149.37,Nublado,0,81,74,1,7,3.9
1368,24,18,40,2.58,151.83,Ensolarado,0,34,42,0,0,4.9
1369,93,2,49,10.85,112.69,Ensolarado,0,63,67,0,0,5.0
